1,2,journal,title
2022-06-24,2022-12-08,International Journal of Mental Health and Addiction,Treatment and Survival Outcomes for Patients with Colorectal Peritoneal Metastases Deemed Ineligible for Cytoreductive Surgery (CRS) with Hyperthermic Intraperitoneal Chemotherapy (HIPEC): Results of a Retrospective Study
2022-11-03,2022-12-06,International Journal of Mental Health and Addiction,Primary Cytoreductive Surgery With or Without Hyperthermic Intraperitoneal Chemotherapy (HIPEC) (OVHIPEC-2)
2022-09-28,2022-12-18,International Journal of Mental Health and Addiction,Modified thoracoabdominal nerve block through perichondrial approach (M-TAPA) vs local infiltration for pain management after laparoscopic cholecystectomy surgery: a randomized study
2022-10-24,2022-12-22,Academic Psychiatry,"Radiographic Outcomes for Comminuted, Intra-articular Distal Radius Fractures Treated with Primary Distraction Bridge Plate Fixation"
2022-08-07,2022-12-02,International Journal of Mental Health and Addiction,Recurrent optic neuropathy: a case of Harding’s disease?
2022-09-09,2022-12-22,Academic Psychiatry,The additional role of [68Ga]Ga-FAPI-04 PET/CT in patients with unknown primary lesion with a negative or equivocal [18F]FDG
2023-01-24,2023-02-15,Academic Psychiatry,Use of Systemic Therapies for Treatment of Psoriasis in Patients with a History of Treated Solid Tumours: Inference-Based Guidance from a Multidisciplinary Expert Panel
2022-06-17,2023-03-21,European Archives of Psychiatry and Clinical Neuroscience,New challenges in cholangiocarcinoma candidates for elective surgery: harnessing the microbiome dysbiosis
2022-12-29,2023-03-16,European Archives of Psychiatry and Clinical Neuroscience,Primary mitochondrial disease as a rare cause of unclear breathlessness and distinctive performance degradation – a case report
2022-11-22,2023-03-19,International Journal of Mental Health and Addiction,Comparison of neoadjuvant versus adjuvant chemotherapy for breast cancer patients prior to receiving radiation therapy using Edmonton Symptom assessment system (ESAS) scores
2022-05-17,2023-03-14,European Archives of Psychiatry and Clinical Neuroscience,Is legal status associated with mental illness among newly arrived refugees in Sweden: an epidemiological study
2021-12-21,2023-03-14,Academic Psychiatry,Signet ring cell-like diffuse large B-cell lymphoma involving the breast: a case report
2022-08-23,2023-03-07,Academic Psychiatry,Dynamics of factors associated with rates of COVID-19 cases and deaths in African countries
2022-11-21,2023-02-17,Academic Psychiatry,Local design and manufacturing of patient-specific implant using Anatomage Medical Design Studio software: proof of concept - Botswana’s 1st case report
2022-11-24,2023-02-15,European Archives of Psychiatry and Clinical Neuroscience,The novel Nsp9-interacting host factor H2BE promotes PEDV replication by inhibiting endoplasmic reticulum stress-mediated apoptosis
2022-09-22,2023-02-24,European Archives of Psychiatry and Clinical Neuroscience,Assessment of myocardial bridging and the pericoronary fat attenuation index on coronary computed tomography angiography: predicting coronary artery disease risk
2022-10-01,2023-03-17,Academic Psychiatry,Survival of livestock-associated methicillin-resistant Staphylococcus aureus CC398 on different surface materials
2022-11-15,2023-02-08,Academic Psychiatry,Early sclerostin assessment in frail elderly patients with sepsis: insights on short- and long-term mortality prediction
2022-06-15,2023-02-28,International Journal of Mental Health and Addiction,"Risk of SARS-CoV-2 infection, severe COVID-19 illness and COVID-19 mortality in people with pre-existing mental disorders: an umbrella review"
2022-11-11,2023-02-26,European Archives of Psychiatry and Clinical Neuroscience,Retinal layers and symptoms and inflammation in schizophrenia
2022-04-29,2023-02-27,European Archives of Psychiatry and Clinical Neuroscience,Iterative proportional fitting as a balancing method in observational studies
2022-10-19,2023-01-10,Academic Psychiatry,Curcumin-dependent phenotypic transformation of microglia mediates resistance to pseudorabies-induced encephalitis
2022-10-18,2023-02-06,European Archives of Psychiatry and Clinical Neuroscience,Biochemical and mutational analyses of HEXA in a cohort of Egyptian patients with infantile Tay-Sachs disease. Expansion of the mutation spectrum
2022-11-15,2023-02-20,European Archives of Psychiatry and Clinical Neuroscience,Moral distress among neonatologists working in neonatal intensive care units in Greece: a qualitative study
2022-03-29,2022-09-29,European Archives of Psychiatry and Clinical Neuroscience,Robust landmark-based brain shift correction with a Siamese neural network in ultrasound-guided brain tumor resection
2022-08-16,2022-11-25,Current Treatment Options in Psychiatry,Clinical image: ultrasound findings and magnetic resonance imaging comparison in the muscular involvement in polyarteritis nodosa
2022-02-01,2022-07-22,European Archives of Psychiatry and Clinical Neuroscience,Metacognitive Reflection and Insight Therapy (MERIT) Delivered Virtually During the COVID-19 Pandemic: An Illustration of Two Cases
2022-04-12,2022-07-25,Current Treatment Options in Psychiatry,Robot-assisted vs traditional percutaneous freehand for the scaphoid fracture treatment: a retrospective study
2022-12-13,2023-02-05,International Journal of Mental Health and Addiction,A case in which ultrasonography was useful in differentiating between rib fracture due to compression after biopsy and rib metastasis of breast cancer
2022-09-12,2023-02-16,International Journal of Mental Health and Addiction,Genetic association analysis of rs662799 ( − 1131A > G) polymorphism of APOA5 gene with morphometric and physio-metric traits using multiplex PCR
2022-08-19,2023-02-13,European Archives of Psychiatry and Clinical Neuroscience,The effect of a multi-faceted quality improvement program on paramedic intubation success in the critical care transport environment: a before-and-after study
